341605 341538 253:4 /firmware/aw87xxx_pid_59_voice_1.bin /vendor/firmware/aw87xxx_pid_59_voice_1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341606 341538 253:4 /firmware/aw8622_mid_f0_cali_cfg.bin /vendor/firmware/aw8622_mid_f0_cali_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341607 341538 253:4 /firmware/aw87xxx_pid_59_off_0.bin /vendor/firmware/aw87xxx_pid_59_off_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341608 341538 253:4 /firmware/aw8622_high_f0_M_cfg.bin /vendor/firmware/aw8622_high_f0_M_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341609 341538 253:4 /firmware/aw8622_high_f0_need_setup_M_cfg.bin /vendor/firmware/aw8622_high_f0_need_setup_M_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341610 341538 253:4 /firmware/aw8622_mid_f0_LONG_cfg.bin /vendor/firmware/aw8622_mid_f0_LONG_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341611 341538 253:4 /firmware/Conf_MultipleTest.ini /vendor/firmware/Conf_MultipleTest.ini ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341612 341538 253:4 /firmware/aw87xxx_pid_59_off_1.bin /vendor/firmware/aw87xxx_pid_59_off_1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341613 341538 253:4 /firmware/gt9886_cfg_6885v9c.bin /vendor/firmware/gt9886_cfg_6885v9c.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341614 341538 253:4 /firmware/gt9886_cfg_6893v01.bin /vendor/firmware/gt9886_cfg_6893v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341615 341538 253:4 /firmware/goodix_firmware.bin /vendor/firmware/goodix_firmware.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341616 341538 253:4 /firmware/gt9886_cfg_6785v96.bin /vendor/firmware/gt9886_cfg_6785v96.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341617 341538 253:4 /firmware/gt9886_firmware_6873v01.bin /vendor/firmware/gt9886_firmware_6873v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341618 341538 253:4 /firmware/aw87xxx_vmax_0.bin /vendor/firmware/aw87xxx_vmax_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341619 341538 253:4 /firmware/gt9886_cfg_6785v99.bin /vendor/firmware/gt9886_cfg_6785v99.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341620 341538 253:4 /firmware/WIFI_RAM_CODE_soc1_0_2a_1.bin /vendor/firmware/WIFI_RAM_CODE_soc1_0_2a_1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341621 341538 253:4 /firmware/gt9886_cfg_6885v01.bin /vendor/firmware/gt9886_cfg_6885v01.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341622 341538 253:4 /firmware/gt9886_cfg_90hz6877.bin /vendor/firmware/gt9886_cfg_90hz6877.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341623 341538 253:4 /firmware/aw87xxx_vmax_1.bin /vendor/firmware/aw87xxx_vmax_1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341624 341538 253:4 /firmware/gt9886_firmware_6885a1.bin /vendor/firmware/gt9886_firmware_6885a1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341625 341538 253:8 /adb/modules/universal-gms-doze/system/vendor/firmware/wifi.cfg.bak /vendor/firmware/wifi.cfg.bak rw,nosuid,nodev,noatime master:35 - f2fs /dev/block/dm-8 rw,lazytime,seclabel,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=55862,resuid=0,resgid=1065,inlinecrypt,alloc_mode=reuse,fsync_mode=nobarrier
341626 341538 253:8 /adb/modules/universal-gms-doze/system/vendor/firmware/wifi.cfg /vendor/firmware/wifi.cfg rw,nosuid,nodev,noatime master:35 - f2fs /dev/block/dm-8 rw,lazytime,seclabel,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=55862,resuid=0,resgid=1065,inlinecrypt,alloc_mode=reuse,fsync_mode=nobarrier
341627 1657 0:36 /vendor/etc /vendor/etc rw,relatime - tmpfs KSU rw,seclabel,size=3892960k,nr_inodes=973240
341628 341627 253:4 /etc/124_Summer.png /vendor/etc/124_Summer.png ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341629 341627 253:4 /etc/media_profiles_V1_0.xml /vendor/etc/media_profiles_V1_0.xml ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341630 341627 253:4 /etc/media_codecs_mediatek_audio.xml /vendor/etc/media_codecs_mediatek_audio.xml ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341631 341627 253:4 /etc/camera/mibokeh_mt6853_opencl.bin /vendor/etc/camera/mibokeh_mt6853_opencl.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341632 341627 253:4 /etc/camera/libalfpc_tuning_K7B.bin /vendor/etc/camera/libalfpc_tuning_K7B.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341633 341627 253:4 /etc/camera/vidhance_calibration /vendor/etc/camera/vidhance_calibration ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341634 341627 253:4 /etc/camera/CFR_para_T.bin /vendor/etc/camera/CFR_para_T.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341635 341627 253:4 /etc/camera/CFR_para_M.bin /vendor/etc/camera/CFR_para_M.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341636 341627 253:4 /etc/camera/LDC_packdata_xiaomi_K7B.dat /vendor/etc/camera/LDC_packdata_xiaomi_K7B.dat ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341637 341627 253:4 /etc/camera/CFR_para_UW.bin /vendor/etc/camera/CFR_para_UW.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341638 341627 253:4 /etc/camera/com.xiaomi.dcal.wd.golden /vendor/etc/camera/com.xiaomi.dcal.wd.golden ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341639 341627 253:4 /etc/camera/sceneDetection.xml /vendor/etc/camera/sceneDetection.xml ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341640 341627 253:4 /etc/camera/para_ini_cal_w_d_0.bin /vendor/etc/camera/para_ini_cal_w_d_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341641 341627 253:4 /etc/camera/sr_params.xml /vendor/etc/camera/sr_params.xml ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341642 341627 253:4 /etc/camera/mibokeh_mt6853_parameter.bin /vendor/etc/camera/mibokeh_mt6853_parameter.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341643 341627 253:4 /etc/camera/CFR_para_W.bin /vendor/etc/camera/CFR_para_W.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341644 341627 253:4 /etc/camera/para_ini_verify_w_d_0.bin /vendor/etc/camera/para_ini_verify_w_d_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341645 341627 253:4 /etc/camera/model/dof_model/capture_policy /vendor/etc/camera/model/dof_model/capture_policy ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
